OBJECTID,TICKET_NUMBER,ISSUE_DATE,ISSUE_TIME,ISSUING_AGENCY_CODE,ISSUING_AGENCY_NAME,ISSUING_AGENCY_SHORT,VIOLATION_CODE,VIOLATION_PROC_DESC,LOCATION,PLATE_STATE,VEHICLE_TYPE,MULTI_OWNER_NUMBER,DISPOSITION_CODE,DISPOSITION_TYPE,DISPOSITION_DESC,DISPOSITION_DATE,FINE_AMOUNT,TOTAL_PAID,PENALTY_1,PENALTY_2,PENALTY_3,PENALTY_4,PENALTY_5,XCOORD,YCOORD,LATITUDE,LONGITUDE,MAR_ID,GIS_LAST_MOD_DTTM
81445584,275343633,2023/02/08 05:00:00+00,1217,2,METROPOLITAN POLICE DPT-DISTRICT 2,MPD-2D,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,4301 MASS AVE NW, ,,0,0,Other,,,250,0,0,0,0,0,0,392794.79,140987.67,38.937,-77.083,223336,2023/03/05 15:02:49+00
81445585,275343644,2023/02/08 05:00:00+00,22,2,METROPOLITAN POLICE DPT-DISTRICT 2,MPD-2D,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,4301 MASS AVE NW, ,,0,0,Other,,,250,0,0,0,0,0,0,392794.79,140987.67,38.937,-77.083,223336,2023/03/05 15:02:49+00
81445597,277487350,2023/02/05 05:00:00+00,1400,23,UNITED STATES CAPITOL POLICE,USCP,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,100 INDEPENDENCE AVE SE, ,,0,0,Other,,,50,50,0,0,0,0,0,399591.516,135530.468,38.888,-77.005,800338,2023/03/05 15:02:49+00
81445598,277487361,2023/02/05 05:00:00+00,1422,23,UNITED STATES CAPITOL POLICE,USCP,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,100 INDEPENDENCE AVE SE, ,,0,0,Other,,,50,50,0,0,0,0,0,399591.516,135530.468,38.888,-77.005,800338,2023/03/05 15:02:49+00
81445599,278018624,2023/02/11 05:00:00+00,1305,23,UNITED STATES CAPITOL POLICE,USCP,P023,OBSTRUCT AN INTERSECTION,200 PENN AVE NW, ,,0,0,Other,,,50,50,0,0,0,0,0,398796.71,135916.41,38.891,-77.014,804014,2023/03/05 15:02:49+00
81445601,278023141,2023/02/14 05:00:00+00,1930,23,UNITED STATES CAPITOL POLICE,USCP,P269,NO STANDING ANYTIME,UNIT FIRST STREET SE, ,,0,0,Other,,,50,0,0,0,0,0,0,399485.81,135652.22,38.889,-77.006,800398,2023/03/05 15:02:49+00
81445602,278023513,2023/02/17 05:00:00+00,943,23,UNITED STATES CAPITOL POLICE,USCP,P170,FAILURE TO DISPLAY CURRENT TAGS,200 MARYLAND AVE SW, ,,0,0,Other,,,100,0,0,0,0,0,0,398795.84,135634.99,38.889,-77.014,801240,2023/03/05 15:02:49+00
81445626,279477575,2023/02/09 05:00:00+00,1447,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P319,PARK IN BUS STOP OR ZONE DURING RUSH HOUR,1600 H ST NW, ,,0,0,Other,,,50,0,0,0,0,0,0,396671.45,136912.6,38.9,-77.038,310845,2023/03/05 15:02:49+00
81445633,279487600,2023/02/08 05:00:00+00,144,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,1700 N ST NW, ,,0,0,Other,,,50,50,0,0,0,0,0,396522.7,137709.93,38.907,-77.04,804804,2023/03/05 15:02:49+00
81445634,279487611,2023/02/08 05:00:00+00,144,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P170,FAILURE TO DISPLAY CURRENT TAGS,1700 N ST NW, ,,0,0,Other,,,100,100,0,0,0,0,0,396522.7,137709.93,38.907,-77.04,804804,2023/03/05 15:02:49+00
81445635,279487622,2023/02/09 05:00:00+00,44,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P170,FAILURE TO DISPLAY CURRENT TAGS,1763 N ST NW, ,,0,0,Other,,,100,0,0,0,0,0,0,396451.01,137729.92,38.907,-77.041,276260,2023/03/05 15:02:49+00
81445636,279487633,2023/02/09 05:00:00+00,109,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,700 11TH ST NW, ,,0,0,Other,,,50,0,0,0,0,0,0,397630.13,136765.88,38.899,-77.027,243255,2023/03/05 15:02:49+00
81445637,279487655,2023/02/09 05:00:00+00,155,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,700 11TH ST NW, ,,0,0,Other,,,50,0,0,0,0,0,0,397630.13,136765.88,38.899,-77.027,243255,2023/03/05 15:02:49+00
81445638,279487681,2023/02/15 05:00:00+00,51,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,1300 18TH ST NW, ,,0,0,Other,,,50,50,0,0,0,0,0,396385.26,137809.53,38.908,-77.042,803500,2023/03/05 15:02:49+00
81445639,279487692,2023/02/15 05:00:00+00,122,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P170,FAILURE TO DISPLAY CURRENT TAGS,1836 JEFFERSON PL NW, ,,0,0,Other,,,100,0,0,0,0,0,0,396259.61,137598.99,38.906,-77.043,241275,2023/03/05 15:02:49+00
81445640,279487703,2023/02/15 05:00:00+00,318,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P170,FAILURE TO DISPLAY CURRENT TAGS,3000 VAN NESS AVE NW, ,,0,0,Other,,,100,0,0,0,0,0,0,394650.05,141697.59,38.943,-77.062,812163,2023/03/05 15:02:49+00
81445642,279568892,2023/02/15 05:00:00+00,1731,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,300 FIRST ST NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399489.13,136262.02,38.894,-77.006,807865,2023/03/05 15:02:49+00
81445643,279571935,2023/02/15 05:00:00+00,1018,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,10 LOUISIANA AVE NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399284.2,136426.28,38.896,-77.008,807571,2023/03/05 15:02:49+00
81445644,279571946,2023/02/15 05:00:00+00,1022,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,10 LOUISIANA AVE NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399284.2,136426.28,38.896,-77.008,807571,2023/03/05 15:02:49+00
81445645,279571950,2023/02/15 05:00:00+00,1028,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,10 LOUISIANA AVE NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399284.2,136426.28,38.896,-77.008,807571,2023/03/05 15:02:49+00
81445646,279571961,2023/02/15 05:00:00+00,1032,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,10 LOUISIANA AVE NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399284.2,136426.28,38.896,-77.008,807571,2023/03/05 15:02:49+00
81445647,279571972,2023/02/15 05:00:00+00,1035,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,10 LOUISIANA AVE NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399284.2,136426.28,38.896,-77.008,807571,2023/03/05 15:02:49+00
81445648,279571983,2023/02/15 05:00:00+00,1043,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,12 E ST LOT 12 NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399268.094,136493.341,38.896,-77.008,-4175,2023/03/05 15:02:49+00
81445650,279593845,2023/02/02 05:00:00+00,835,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,31 IVY ST SE, ,,0,0,Other,,,25,0,0,0,0,0,0,399297.978,135137.897,38.884,-77.008,-21847,2023/03/05 15:02:49+00
81445651,279593856,2023/02/02 05:00:00+00,838,23,UNITED STATES CAPITOL POLICE,USCP,P001,PARK ABREAST OF ANOTHER VEHICLE,31 IVY ST SE, ,,0,134,Dismissed,DISM MAKE MISMATCH,2023/02/13 05:00:00+00,50,0,0,0,0,0,0,399297.978,135137.897,38.884,-77.008,-21847,2023/03/05 15:02:49+00
81445664,279709150,2023/02/16 05:00:00+00,1646,23,UNITED STATES CAPITOL POLICE,USCP,P170,FAILURE TO DISPLAY CURRENT TAGS,300 2 ST NE, ,,0,0,Other,,,100,0,0,0,0,0,0,399695.14,136259.74,38.894,-77.004,808159,2023/03/05 15:02:49+00
81445665,279712300,2023/02/19 05:00:00+00,1615,23,UNITED STATES CAPITOL POLICE,USCP,P304,INDIVID W/ DISABILITIES ONLY UNAUTH. USE RSRVD SP,200 MARYLAND AVE SW, ,,0,0,Other,,,250,0,0,0,0,0,0,398795.84,135634.99,38.889,-77.014,801240,2023/03/05 15:02:49+00
81445666,279712311,2023/02/19 05:00:00+00,1620,23,UNITED STATES CAPITOL POLICE,USCP,P055,NO PARKING ANYTIME,200 2ND ST SW, ,,0,0,Other,,,25,0,0,0,0,0,0,398815.82,135419.09,38.887,-77.014,808660,2023/03/05 15:02:49+00
81445667,279716371,2023/02/01 05:00:00+00,1620,23,UNITED STATES CAPITOL POLICE,USCP,P385,"STOPPING, STANDING OR PARKING VEHICLE IN BIKE LANE",UNIT INDEPENDENCE AVE SW, ,,0,0,Other,,,150,0,0,0,0,0,0,399079.58,135527.87,38.888,-77.011,810495,2023/03/05 15:02:49+00
81445668,279716382,2023/02/15 05:00:00+00,1400,23,UNITED STATES CAPITOL POLICE,USCP,P269,NO STANDING ANYTIME,100 CONSTITUTION AVE NE, ,,0,0,Other,,,50,0,0,0,0,0,0,399560.92,136018.47,38.892,-77.005,816706,2023/03/05 15:02:49+00
81445669,279716404,2023/02/16 05:00:00+00,1125,23,UNITED STATES CAPITOL POLICE,USCP,P269,NO STANDING ANYTIME,100 CONSTITUTION AVE NE, ,,0,0,Other,,,50,0,0,0,0,0,0,399560.92,136018.47,38.892,-77.005,816706,2023/03/05 15:02:49+00
81445670,279716426,2023/02/16 05:00:00+00,1611,23,UNITED STATES CAPITOL POLICE,USCP,P259,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,400 NORTH CAPITOL ST NE, ,,950624740,11,Liable,LIABLE,2023/02/27 05:00:00+00,100,100,0,0,0,0,0,399967.56,135802.63,38.89,-77,28319,2023/03/05 15:02:49+00
81445671,279720932,2023/02/01 05:00:00+00,1321,23,UNITED STATES CAPITOL POLICE,USCP,P269,NO STANDING ANYTIME,100 CONSTITUTION AVE NE, ,,0,106,Dismissed,DISM NOI SUBM LATE,2023/02/25 05:00:00+00,50,0,0,0,0,0,0,399560.92,136018.47,38.892,-77.005,816706,2023/03/05 15:02:49+00
81445673,279726016,2023/02/06 05:00:00+00,1244,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,300 DELAWARE AVE NE, ,,0,0,Other,,,25,25,0,0,0,0,0,399359.48,136262.52,38.894,-77.007,801912,2023/03/05 15:02:49+00
81445674,279726020,2023/02/06 05:00:00+00,1250,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,300 DELAWARE AVE NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399359.48,136262.52,38.894,-77.007,801912,2023/03/05 15:02:49+00
81445675,279726031,2023/02/06 05:00:00+00,1255,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,300 DELAWARE AVE NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399359.48,136262.52,38.894,-77.007,801912,2023/03/05 15:02:49+00
81445676,279726042,2023/02/06 05:00:00+00,1303,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,300 FIRST ST NE, ,,0,0,Other,,,25,25,0,0,0,0,0,399489.13,136262.02,38.894,-77.006,807865,2023/03/05 15:02:49+00
81445678,279727873,2023/02/02 05:00:00+00,1108,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,UNIT D ST NE, ,,0,0,Other,,,25,25,0,0,0,0,0,399295.62,136326.74,38.895,-77.008,808323,2023/03/05 15:02:49+00
81445679,279727884,2023/02/02 05:00:00+00,1158,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,UNIT D ST NE, ,,0,0,Other,,,25,25,0,0,0,0,0,399295.62,136326.74,38.895,-77.008,808323,2023/03/05 15:02:49+00
81445680,279727895,2023/02/06 05:00:00+00,844,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,UNIT D ST NE, ,,0,0,Other,,,25,25,0,0,0,0,0,399295.62,136326.74,38.895,-77.008,808323,2023/03/05 15:02:49+00
81445684,279727932,2023/02/09 05:00:00+00,1115,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,UNIT D ST NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399295.62,136326.74,38.895,-77.008,808323,2023/03/05 15:02:49+00
81445685,279727943,2023/02/09 05:00:00+00,1123,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,UNIT D ST NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399295.62,136326.74,38.895,-77.008,808323,2023/03/05 15:02:49+00
81445686,279727954,2023/02/13 05:00:00+00,833,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,300 FIRST ST NE, ,,950531290,0,Other,,,25,0,0,0,0,0,0,399489.13,136262.02,38.894,-77.006,807865,2023/03/05 15:02:49+00
81445687,279727965,2023/02/13 05:00:00+00,842,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,UNIT D ST NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399295.62,136326.74,38.895,-77.008,808323,2023/03/05 15:02:49+00
81445689,279727980,2023/02/14 05:00:00+00,1331,23,UNITED STATES CAPITOL POLICE,USCP,P026,PARK ON A LAWN,300 FIRST ST NE, ,,0,0,Other,,,20,20,0,0,0,0,0,399489.13,136262.02,38.894,-77.006,807865,2023/03/05 15:02:49+00
81445691,279731023,2023/02/22 05:00:00+00,1358,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,100 MASSACHUSETTS AVE NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399597.62,136424.6,38.896,-77.005,805990,2023/03/05 15:02:49+00
81445692,279731034,2023/02/22 05:00:00+00,1403,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,100 MASSACHUSETTS AVE NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399597.62,136424.6,38.896,-77.005,805990,2023/03/05 15:02:49+00
81445693,279731045,2023/02/22 05:00:00+00,1405,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,100 MASSACHUSETTS AVE NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399597.62,136424.6,38.896,-77.005,805990,2023/03/05 15:02:49+00
81445694,279731056,2023/02/22 05:00:00+00,1410,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,100 MASSACHUSETTS AVE NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399597.62,136424.6,38.896,-77.005,805990,2023/03/05 15:02:49+00
81445695,279735551,2023/02/11 05:00:00+00,105,23,UNITED STATES CAPITOL POLICE,USCP,P055,NO PARKING ANYTIME,200 3RD ST SW, ,,0,134,Dismissed,DISM MAKE MISMATCH,2023/02/27 05:00:00+00,30,0,0,0,0,0,0,398681.143,135440.91,38.887,-77.015,802872,2023/03/05 15:02:49+00
81445696,279737091,2023/02/08 05:00:00+00,1011,23,UNITED STATES CAPITOL POLICE,USCP,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,200 E ST SW, ,,0,0,Other,,,50,0,0,0,0,0,0,398806.46,135030.85,38.883,-77.014,277763,2023/03/05 15:02:49+00
81445697,279737102,2023/02/08 05:00:00+00,1015,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,400 3RD ST SW, ,,0,0,Other,,,25,0,0,0,0,0,0,398704.061,135237.017,38.885,-77.015,-25419,2023/03/05 15:02:49+00
81445698,279737113,2023/02/08 05:00:00+00,1017,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,400 3RD ST SW, ,,0,0,Other,,,25,0,0,0,0,0,0,398704.061,135237.017,38.885,-77.015,-25419,2023/03/05 15:02:49+00
81445699,279737124,2023/02/08 05:00:00+00,1019,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,400 3RD ST SW, ,,0,0,Other,,,25,0,0,0,0,0,0,398704.061,135237.017,38.885,-77.015,-25419,2023/03/05 15:02:49+00
81445700,279737135,2023/02/08 05:00:00+00,1021,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,400 3RD ST SW, ,,0,0,Other,,,25,25,0,0,0,0,0,398704.061,135237.017,38.885,-77.015,-25419,2023/03/05 15:02:49+00
81445701,279737161,2023/02/09 05:00:00+00,947,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,400 3RD ST SW, ,,0,0,Other,,,25,0,0,0,0,0,0,398704.061,135237.017,38.885,-77.015,-25419,2023/03/05 15:02:49+00
81445702,279737172,2023/02/09 05:00:00+00,950,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,400 3RD ST SW, ,,0,0,Other,,,25,0,0,0,0,0,0,398704.061,135237.017,38.885,-77.015,-25419,2023/03/05 15:02:49+00
81445703,279737183,2023/02/09 05:00:00+00,955,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,400 3RD ST SW, ,,0,0,Other,,,25,0,0,0,0,0,0,398704.061,135237.017,38.885,-77.015,-25419,2023/03/05 15:02:49+00
81445704,279737275,2023/02/15 05:00:00+00,1306,23,UNITED STATES CAPITOL POLICE,USCP,P055,NO PARKING ANYTIME,UNIT INDEPENDENCE AVE SE, ,,0,0,Other,,,30,0,0,0,0,0,0,399252.97,135527.18,38.888,-77.009,803321,2023/03/05 15:02:49+00
81445705,279737290,2023/02/15 05:00:00+00,1407,23,UNITED STATES CAPITOL POLICE,USCP,P269,NO STANDING ANYTIME,100 CONSTITUTION AVE NE, ,,0,0,Other,,,50,50,0,0,0,0,0,399560.92,136018.47,38.892,-77.005,816706,2023/03/05 15:02:49+00
81445706,279738211,2023/02/08 05:00:00+00,1035,23,UNITED STATES CAPITOL POLICE,USCP,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,UNIT FIRST ST NE, ,,0,0,Other,,,25,0,0,0,0,0,0,399486.41,135838.57,38.89,-77.006,805108,2023/03/05 15:02:49+00
81445707,279738222,2023/02/11 05:00:00+00,1305,23,UNITED STATES CAPITOL POLICE,USCP,P001,PARK ABREAST OF ANOTHER VEHICLE,200 PENNSYLVANIA AVE NW, ,,0,0,Other,,,50,0,0,0,0,0,0,398796.71,135916.41,38.891,-77.014,804014,2023/03/05 15:02:49+00
81445708,279800872,2023/02/14 05:00:00+00,1703,22,UNITED STATES PARK POLICE,USPP,P259,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,21ST & CONSTITUTION AVE NW, ,,0,0,Other,,,100,100,0,0,0,0,0,395950.72,136029.51,38.892,-77.047,902190,2023/03/05 15:02:49+00
81445709,279803123,2023/02/18 05:00:00+00,1956,22,UNITED STATES PARK POLICE,USPP,P271,NO STOPPING ANYTIME,9 HENRY BACON DRIVE NW, ,,0,0,Other,,,50,0,0,0,0,0,0,395773.34,135917.34,38.891,-77.049,811807,2023/03/05 15:02:49+00
81445710,279803145,2023/02/18 05:00:00+00,2000,22,UNITED STATES PARK POLICE,USPP,P271,NO STOPPING ANYTIME,4 HENRY BACON DRIVE NW, ,,0,0,Other,,,50,0,0,0,0,0,0,395773.34,135917.34,38.891,-77.049,811807,2023/03/05 15:02:49+00
81445711,279803156,2023/02/18 05:00:00+00,2000,22,UNITED STATES PARK POLICE,USPP,P271,NO STOPPING ANYTIME,4 HENRY BACON DR NW, ,,0,0,Other,,,50,0,0,0,0,0,0,395773.34,135917.34,38.891,-77.049,811807,2023/03/05 15:02:49+00
81445713,279803171,2023/02/23 05:00:00+00,2011,22,UNITED STATES PARK POLICE,USPP,P271,NO STOPPING ANYTIME,4 HENRY BACON DRIVE NW, ,,0,0,Other,,,50,0,0,0,0,0,0,395773.34,135917.34,38.891,-77.049,811807,2023/03/05 15:02:49+00
81445714,279803193,2023/02/18 05:00:00+00,2023,22,UNITED STATES PARK POLICE,USPP,P271,NO STOPPING ANYTIME,4 HENRY BACON DRIVE NW, ,,0,0,Other,,,50,0,0,0,0,0,0,395773.34,135917.34,38.891,-77.049,811807,2023/03/05 15:02:49+00
81445716,279815233,2023/02/07 05:00:00+00,808,22,UNITED STATES PARK POLICE,USPP,P415,VEHICLE ON PRIVATE/PUBLIC PROP W/O CONSENT 3D OFF,7TH ST BETW JEFFRSN & MADISON DR NW, ,,0,0,Other,,,1000,0,0,0,0,0,0,398099.364,135855.19,38.891,-77.022,900826,2023/03/05 15:02:49+00
81445722,279853383,2023/02/05 05:00:00+00,1230,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,1400 NEW YORK AVE NW, ,,0,0,Other,,,50,0,0,0,0,0,0,397186.91,136790.33,38.899,-77.032,279125,2023/03/05 15:02:49+00
81445723,279853394,2023/02/05 05:00:00+00,1245,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,700 15TH ST NW, ,,0,0,Other,,,0,0,0,0,0,0,0,397081.59,136744.65,38.899,-77.034,801016,2023/03/05 15:02:49+00
81445726,279859823,2023/02/05 05:00:00+00,1540,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P055,NO PARKING ANYTIME,1600 H ST NW, ,,0,0,Other,,,30,0,0,0,0,0,0,396671.45,136912.6,38.9,-77.038,310845,2023/03/05 15:02:49+00
